Centro Vaccinale	Codice Nsis	Fascia età	Totale Dosi Somministrate	Maschi	Femmine	Operatori Sanitari e Sociosanitari	Personale non sanitario	Ospiti strutture residenziali	Altro	Prima	Seconda
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	20-29	89	36	53	89	0	0	0	89	0
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	30-39	74	27	47	72	0	0	2	74	0
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	40-49	78	40	38	77	0	0	1	78	0
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	50-59	76	36	40	72	0	0	4	76	0
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	60-69	66	38	28	65	0	0	1	66	0
A.O.U. 'FEDERICO II' DI NAPOLI	150909	20-29	49	15	34	49	0	0	0	49	0
A.O.U. 'FEDERICO II' DI NAPOLI	150909	30-39	99	28	71	99	0	0	0	99	0
A.O.U. 'FEDERICO II' DI NAPOLI	150909	40-49	18	7	11	18	0	0	0	18	0
A.O.U. 'FEDERICO II' DI NAPOLI	150909	50-59	15	6	9	15	0	0	0	15	0
A.O.U. 'FEDERICO II' DI NAPOLI	150909	60-69	5	3	2	5	0	0	0	5	0
AZIENDA OSPEDALIERA 'A. CARDARELLI'	150901	20-29	25	7	18	25	0	0	0	25	0
AZIENDA OSPEDALIERA 'A. CARDARELLI'	150901	30-39	69	38	31	67	2	0	0	69	0
AZIENDA OSPEDALIERA 'A. CARDARELLI'	150901	40-49	65	35	30	62	3	0	0	65	0
AZIENDA OSPEDALIERA 'A. CARDARELLI'	150901	50-59	95	52	43	86	9	0	0	95	0
AZIENDA OSPEDALIERA 'A. CARDARELLI'	150901	60-69	34	22	12	33	1	0	0	34	0
AZIENDA OSPEDALIERA S. G. MOSCATI	150905	20-29	15	5	10	9	0	0	6	15	0
AZIENDA OSPEDALIERA S. G. MOSCATI	150905	30-39	36	19	17	17	1	0	18	36	0
AZIENDA OSPEDALIERA S. G. MOSCATI	150905	40-49	54	27	27	26	0	0	28	54	0
AZIENDA OSPEDALIERA S. G. MOSCATI	150905	50-59	41	16	25	20	2	0	19	41	0
AZIENDA OSPEDALIERA S. G. MOSCATI	150905	60-69	23	13	10	16	2	0	5	23	0
AZIENDA OSPEDALIERA UNIVERSITARIA UNICAM	150908	20-29	40	15	25	39	1	0	0	40	0
AZIENDA OSPEDALIERA UNIVERSITARIA UNICAM	150908	30-39	69	28	41	69	0	0	0	69	0
AZIENDA OSPEDALIERA UNIVERSITARIA UNICAM	150908	40-49	20	5	15	18	2	0	0	20	0
AZIENDA OSPEDALIERA UNIVERSITARIA UNICAM	150908	50-59	42	15	27	32	10	0	0	42	0
AZIENDA OSPEDALIERA UNIVERSITARIA UNICAM	150908	60-69	25	14	11	21	4	0	0	25	0
AZIENDA OSPEDALIERA UNIVERSITARIA UNICAM	150908	70-79	2	2	0	2	0	0	0	2	0
Casa albergo Casa Albergo San Giovanni Battista  - Saviano	150206	30-39	3	1	2	3	0	0	0	3	0
